"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"CB01_01";"CB01_02";"CB01_03";"CB01_04";"CB01_05";"CB01_06";"CB01_07";"CB01_08";"CB01_09";"CB01_10";"D001";"D002";"D003_01";"D004_01";"DT01_01";"DT01_02";"DT01_03";"DT01_04";"DT01_05";"DT01_06";"DT01_07";"DT01_08";"DT01_09";"DT01_10";"DT01_11";"DT01_12";"DT01_13";"DT01_14";"DT01_15";"TIME001";"TIME002";"TIME003";"TIME004";"TIME_SUM";"MAILSENT";"LASTDATA";"STATUS";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI"
112;;;"base";"interview";2025-12-10 17:50:00;5;4;2;2;3;4;4;2;2;2;4;4;"18";2;3;2;2;3;3;2;2;2;3;4;5;5;6;6;5;18;100;154;46;318;;2025-12-10 17:55:18;"complete";1;0;4;4;0;0;0.62
113;;;"base";"interview";2025-12-10 17:58:07;4;4;4;4;3;4;4;2;2;3;3;3;"14";5;2;4;1;3;4;4;3;2;5;2;2;6;5;5;5;18;63;153;16;250;;2025-12-10 18:02:17;"complete";1;0;4;4;0;0;0.95
117;;;"base";"interview";2025-12-10 18:01:41;5;4;3;5;4;3;5;4;4;3;;;;;;;;;;;;;;;;;;;;66;101;;;109;;2025-12-10 18:04:28;;0;0;2;2;0;0;0.4
122;;;"base";"interview";2025-12-10 18:10:33;5;1;1;1;5;3;5;3;3;1;1;3;"19";6;6;3;3;5;3;1;1;4;5;5;1;1;2;1;1;135;259;943;66;233;;2025-12-10 18:33:56;"complete";1;0;4;4;0;0;0.2
126;;;"base";"interview";2025-12-10 18:28:24;2;3;1;3;3;2;4;3;4;2;2;1;"21";6;7;5;2;6;5;2;6;3;3;5;7;7;3;6;1;62;141;292;41;482;;2025-12-10 18:37:20;"complete";1;0;4;4;0;0;0.4
128;;;"base";"interview";2025-12-10 18:47:37;2;1;2;3;3;4;4;3;2;3;1;4;"24";6;2;2;1;2;2;3;4;5;5;3;1;5;3;3;2;52;83;159;26;276;;2025-12-10 18:52:57;"complete";1;0;4;4;0;0;0.67
131;;;"base";"interview";2025-12-10 19:34:31;2;4;1;3;4;4;4;1;5;1;2;3;"19";6;7;7;7;7;3;3;1;1;3;1;5;5;6;7;5;7;47;77;14;145;;2025-12-10 19:36:56;"complete";1;0;4;4;0;0;1.48
132;;;"base";"interview";2025-12-10 19:51:02;2;1;3;4;5;2;2;3;5;3;2;2;"51";6;6;2;2;1;7;1;1;2;1;1;6;7;7;6;2;46;116;264;46;472;;2025-12-10 19:58:54;"complete";1;0;4;4;0;0;0.44
133;;;"base";"interview";2025-12-10 19:57:33;4;3;2;3;3;4;4;3;4;3;2;2;"14";4;7;7;5;7;4;2;1;1;2;1;6;3;5;4;3;12;41;74;14;141;;2025-12-10 19:59:54;"complete";1;0;4;4;0;0;1.43
135;;;"base";"interview";2025-12-10 20:15:07;4;2;3;4;4;4;4;4;2;3;1;3;"18";5;5;7;5;6;3;1;1;1;5;1;3;5;3;7;1;4;73;166;28;271;;2025-12-10 20:19:38;"complete";1;0;4;4;0;0;1.13
137;;;"base";"interview";2025-12-10 20:35:49;2;4;3;2;4;4;3;4;4;2;;;;;5;3;4;6;4;5;6;2;2;1;3;7;1;7;2;14;104;1022;;253;;2025-12-10 20:54:49;;0;0;3;3;0;0;0.45
140;;;"base";"interview";2025-12-10 21:02:48;4;2;1;2;4;4;5;4;4;2;2;4;"30";5;3;3;1;5;5;5;3;3;2;2;3;5;6;5;3;8;59;178;22;267;;2025-12-10 21:07:15;"complete";1;0;4;4;0;0;0.98
141;;;"base";"interview";2025-12-10 21:08:23;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;;;;;;;;;;;;;;;;;;;;6;347;;;74;;2025-12-10 21:14:16;;0;0;2;2;100;100;0.76
145;;;"base";"interview";2025-12-10 21:10:42;4;4;3;3;2;3;4;4;3;3;2;1;"20";5;5;6;5;6;5;4;7;5;2;3;4;7;5;7;2;4;80;223;57;364;;2025-12-10 21:16:46;"complete";1;0;4;4;0;0;0.96
150;;;"base";"interview";2025-12-10 21:15:58;1;2;2;2;1;2;4;2;2;4;2;3;"20";3;3;2;4;5;5;6;6;4;2;1;7;7;7;7;7;4;71;584175;39;249;;2025-12-17 15:34:07;"complete";1;0;4;4;0;0;0.88
164;;;"base";"interview";2025-12-10 21:25:49;5;3;1;2;5;5;5;4;4;2;2;2;"21";6;7;7;7;7;7;7;4;6;1;5;6;7;4;3;7;3;67;89;16;175;;2025-12-10 21:28:44;"complete";1;0;4;4;0;0;1.64
167;;;"base";"interview";2025-12-10 21:28:50;4;3;1;3;5;5;4;3;3;4;2;3;"20";6;5;4;5;6;5;5;5;2;4;3;7;7;5;7;5;6;327;176;63;272;;2025-12-10 21:38:22;"complete";1;0;4;4;0;0;0.66
170;;;"base";"interview";2025-12-10 21:39:23;4;2;3;5;5;5;5;4;4;2;;;;;;;;;;;;;;;;;;;;6;50;9;;65;;2025-12-10 21:40:19;;0;0;2;3;0;0;1.9
171;;;"base";"interview";2025-12-10 21:42:33;4;3;3;3;3;4;4;2;3;2;3;4;"15";5;4;4;4;3;5;4;3;3;3;4;2;5;5;5;4;5;52;100;20;177;;2025-12-10 21:45:30;"complete";1;0;4;4;0;0;1.34
177;;;"base";"interview";2025-12-10 21:53:19;3;2;2;3;5;5;3;5;5;4;;;;;;;;;;;;;;;;;;;;4;82;33089;;221;;2025-12-11 07:06:14;;0;0;3;3;0;0;0.94
186;;;"base";"interview";2025-12-10 21:56:08;5;3;4;3;4;4;3;4;3;4;2;2;"19";6;7;4;7;6;6;7;5;6;4;6;5;7;7;7;6;5;95;115;14;229;;2025-12-10 21:59:57;"complete";1;0;4;4;0;0;1.27
189;;;"base";"interview";2025-12-10 21:57:00;4;3;2;3;3;4;5;5;4;4;1;2;"20";7;6;7;6;7;7;2;3;3;5;5;4;7;5;7;4;21;106;136;20;283;;2025-12-10 22:01:43;"complete";1;0;4;4;0;0;0.78
193;;;"base";"interview";2025-12-10 22:10:42;4;3;4;5;4;3;4;2;2;4;1;4;"15";7;5;3;1;7;6;5;7;2;1;1;2;6;5;3;4;31;98;181;24;334;;2025-12-10 22:16:16;"complete";1;0;4;4;0;0;0.65
194;;;"base";"interview";2025-12-10 22:14:17;2;4;4;3;5;3;3;2;4;4;1;2;"20";6;7;6;7;6;5;6;1;4;2;3;6;6;5;7;5;21;71;129;14;235;;2025-12-10 22:18:12;"complete";1;0;4;4;0;0;0.99
200;;;"base";"interview";2025-12-10 22:43:15;2;3;3;5;2;3;5;3;4;2;1;2;"27";5;7;5;7;6;6;7;6;5;1;6;7;7;7;7;4;45;306;251;98;386;;2025-12-10 22:54:55;"complete";1;0;4;4;0;0;0.29
202;;;"base";"interview";2025-12-10 23:24:09;3;3;1;4;4;5;5;2;4;1;;;;;;;;;;;;;;;;;;;;168;471;;;76;;2025-12-10 23:34:48;;0;0;2;2;0;0;0.1
203;;;"base";"interview";2025-12-10 23:30:01;5;2;3;5;5;5;3;2;4;2;2;4;"18";4;6;6;6;7;4;5;3;5;2;4;5;6;7;7;3;8;69;137;22;236;;2025-12-10 23:33:57;"complete";1;0;4;4;0;0;0.99
204;;;"base";"interview";2025-12-10 23:33:31;4;4;3;3;2;4;4;3;3;4;2;3;"19";5;3;4;1;3;4;5;4;4;2;4;5;7;7;6;5;4;82;160;31;277;;2025-12-10 23:38:08;"complete";1;0;4;4;0;0;1.1
205;;;"base";"interview";2025-12-10 23:38:00;3;4;2;4;5;4;5;3;3;2;;;;;;;;;;;;;;;;;;;;4;81;27007;;220;;2025-12-11 07:09:32;;0;0;3;3;0;0;0.95
207;;;"base";"interview";2025-12-11 00:04:10;2;2;2;3;5;3;5;4;2;2;2;2;"18";4;5;6;7;5;6;3;5;3;2;3;5;5;7;6;6;22;101;228;18;369;;2025-12-11 00:10:19;"complete";1;0;4;4;0;0;0.71
208;;;"base";"interview";2025-12-11 00:12:40;2;4;2;1;2;4;3;3;4;2;1;4;"19";6;6;4;7;3;6;1;1;1;1;1;2;5;3;5;4;7;65;82;23;177;;2025-12-11 00:15:37;"complete";1;0;4;4;0;0;1.2
209;;;"base";"interview";2025-12-11 00:27:16;2;2;5;4;3;5;4;4;4;3;2;3;"18";5;6;5;1;3;3;4;2;3;1;2;4;6;6;5;2;10;52;111;15;188;;2025-12-11 00:30:24;"complete";1;0;4;4;0;0;1.2
211;;;"base";"interview";2025-12-11 01:18:54;1;3;3;4;3;5;5;4;3;2;4;1;"15";5;1;1;1;1;2;5;4;3;1;1;3;5;6;3;2;177;65;430;38;246;;2025-12-11 01:30:44;"complete";1;0;4;4;0;0;0.5
217;;;"base";"interview";2025-12-11 03:41:19;3;2;4;4;2;3;2;5;4;3;;;;;;;;;;;;;;;;;;;;11;34;;;45;;2025-12-11 03:42:04;;0;0;2;2;0;0;1.36
238;;;"base";"interview";2025-12-11 05:14:16;3;1;2;3;3;2;4;4;4;2;;;;;;;;;;;;;;;;;;;;27;90;;;117;;2025-12-11 05:16:13;;0;0;2;2;0;0;0.53
239;;;"base";"interview";2025-12-11 05:14:52;1;1;2;4;5;2;4;4;4;4;1;2;"23";7;7;7;6;6;7;7;7;7;6;7;1;1;2;1;2;13;93;162;15;283;;2025-12-11 05:19:35;"complete";1;0;4;4;0;0;0.91
241;;;"base";"interview";2025-12-11 05:34:15;3;4;4;3;4;4;3;2;5;3;2;1;"52";5;5;5;4;5;4;6;6;4;3;4;7;7;7;7;6;38;122;174;35;369;;2025-12-11 05:40:25;"complete";1;0;4;4;0;0;0.54
244;;;"base";"interview";2025-12-11 06:13:12;4;5;5;3;3;5;5;4;4;1;1;1;"25";7;5;6;6;7;7;7;7;7;7;7;7;7;6;6;5;12;52;83;24;171;;2025-12-11 06:16:03;"complete";1;0;4;4;0;0;1.13
248;;;"base";"interview";2025-12-11 08:16:46;5;3;2;4;5;4;2;2;2;1;2;1;"21";5;2;2;1;3;2;5;3;5;5;7;7;7;7;6;2;51;55;123;21;207;;2025-12-11 08:20:56;"complete";1;0;4;4;0;0;0.88
268;;;"base";"interview";2025-12-11 09:33:15;3;3;2;2;5;5;5;4;5;1;2;4;"19";3;7;7;1;2;7;6;5;5;1;3;7;5;4;3;4;4;58;216;43;321;;2025-12-11 09:38:36;"complete";1;0;4;4;0;0;1.08
274;;;"base";"interview";2025-12-11 11:06:22;3;2;4;3;4;3;2;2;3;3;1;2;"41";6;4;6;5;4;4;2;2;2;2;3;5;3;5;5;5;37712;52;117;23;200;;2025-12-11 21:38:06;"complete";1;0;4;4;0;0;0.85
276;;;"base";"interview";2025-12-11 11:18:57;4;2;2;3;3;3;2;3;2;2;1;3;"34";3;3;3;5;1;4;1;2;3;3;1;1;1;4;4;2;21;54;88;24;187;;2025-12-11 11:22:04;"complete";1;0;4;4;0;0;1.02
278;;;"base";"interview";2025-12-11 13:39:42;4;3;3;4;4;3;5;4;3;3;2;2;"17";5;6;4;5;5;5;3;4;4;5;3;6;7;5;6;5;3;163;210;31;407;;2025-12-11 13:46:29;"complete";1;0;4;4;0;0;1.11
280;;;"base";"interview";2025-12-11 15:51:16;4;2;2;2;4;4;3;4;5;3;2;3;"20";5;6;5;6;6;3;1;2;2;1;1;3;6;6;5;3;6;101;221;31;359;;2025-12-11 15:57:15;"complete";1;0;4;4;0;0;0.83
281;;;"base";"interview";2025-12-11 16:10:31;5;1;3;5;5;5;3;5;3;4;1;2;"45";6;4;4;4;1;1;7;7;6;4;7;7;7;6;7;6;31;265;272;73;393;;2025-12-11 16:21:12;"complete";1;0;4;4;0;0;0.33
282;;;"base";"interview";2025-12-11 16:50:12;2;2;2;2;3;3;1;2;2;2;3;3;"42";4;3;3;2;2;3;1;1;1;1;1;2;6;5;6;6;4;32;40;17;93;;2025-12-11 16:51:45;"complete";1;0;4;4;0;0;2.1
283;;;"base";"interview";2025-12-11 18:02:58;5;2;2;4;5;2;3;4;5;4;2;4;"24";5;2;2;2;3;2;3;1;2;1;2;3;5;5;5;5;3;48;128;19;198;;2025-12-11 18:06:16;"complete";1;0;4;4;0;0;1.57
286;;;"base";"interview";2025-12-11 18:59:00;3;4;3;4;4;4;5;3;5;4;2;1;"20";5;6;7;5;6;5;2;2;3;2;3;6;7;5;6;2;548;108;144;32;292;;2025-12-11 19:12:52;"complete";1;0;4;4;0;0;0.57
291;;;"base";"interview";2025-12-11 23:36:12;4;4;3;4;3;2;3;2;1;2;;;;;;;;;;;;;;;;;;;;7;64;;;71;;2025-12-11 23:37:23;;0;0;2;2;0;0;1.1
295;;;"base";"interview";2025-12-12 17:28:22;2;3;4;4;2;2;4;2;2;2;3;3;"16";3;7;7;4;6;7;2;1;3;3;4;2;3;7;7;5;21;91;206;36;354;;2025-12-12 17:34:16;"complete";1;0;4;4;0;0;0.6
297;;;"base";"interview";2025-12-12 18:15:42;4;3;4;2;5;5;3;4;4;2;2;2;"55";7;7;7;7;7;7;6;7;7;1;2;7;7;7;7;3;22;130;227;42;421;;2025-12-12 18:22:43;"complete";1;0;4;4;0;0;0.5
302;;;"base";"interview";2025-12-12 21:56:35;4;2;2;3;4;4;4;3;4;2;2;4;"50";6;6;6;4;5;2;5;6;2;2;2;6;7;7;6;7;9;275;567;89;234;;2025-12-12 22:12:15;"complete";1;0;4;4;0;0;0.41
303;;;"base";"interview";2025-12-12 21:58:31;3;3;3;3;3;2;3;3;3;2;;;;;;;;;;;;;;;;;;;;5;30;;;35;;2025-12-12 21:59:06;;0;0;2;2;0;0;1.93
307;;;"base";"interview";2025-12-13 15:51:58;4;3;2;4;4;4;3;3;4;2;2;3;"49";6;5;5;4;3;5;5;3;4;1;3;7;7;7;6;4;25;78;163;39;305;;2025-12-13 15:57:03;"complete";1;0;4;4;0;0;0.65
308;;;"base";"interview";2025-12-13 15:56:15;5;5;4;5;5;4;5;4;3;5;1;2;"26";7;7;7;2;5;7;5;6;4;3;3;7;7;6;7;7;6;42;98;12;158;;2025-12-13 15:58:53;"complete";1;0;4;4;0;0;1.54
309;;;"base";"interview";2025-12-13 16:51:09;2;4;2;3;5;4;3;3;4;3;2;4;"21";5;6;4;6;4;4;4;4;1;1;4;6;6;7;7;6;17;84;77;24;202;;2025-12-13 16:54:32;"complete";1;0;4;4;0;0;0.99
313;;;"base";"interview";2025-12-13 18:48:05;3;4;2;3;3;2;4;4;3;2;1;4;"17";6;4;1;3;2;2;6;3;4;5;7;6;5;4;3;4;7;81;162;28;278;;2025-12-13 18:52:43;"complete";1;0;4;4;0;0;0.9
314;;;"base";"interview";2025-12-13 18:49:05;1;2;4;3;5;4;4;4;4;4;1;2;"29";7;2;3;5;3;3;4;5;2;4;2;7;7;7;7;4;11;50;111;29;201;;2025-12-13 18:52:26;"complete";1;0;4;4;0;0;1.02
323;;;"base";"interview";2025-12-13 22:52:52;4;3;3;4;4;4;4;4;4;2;1;4;"31";6;3;3;5;3;6;4;4;3;1;4;5;5;5;4;4;3;106;309;317;440;;2025-12-13 23:05:07;"complete";1;0;4;4;0;0;0.95
324;;;"base";"interview";2025-12-14 00:03:49;3;1;3;3;4;4;5;1;3;1;2;2;"28";5;3;2;1;5;7;1;1;1;1;1;7;7;5;7;6;7;47;75;13;142;;2025-12-14 00:06:11;"complete";1;0;4;4;0;0;1.52
326;;;"base";"interview";2025-12-14 01:05:00;2;1;2;4;4;5;2;4;4;5;1;1;"25";5;6;6;6;7;5;6;3;4;2;3;5;6;5;6;2;11;56;90;21;178;;2025-12-14 01:07:58;"complete";1;0;4;4;0;0;1.12
328;;;"base";"interview";2025-12-14 10:30:09;3;4;2;3;2;3;4;3;3;2;1;2;"28";5;6;5;5;5;6;5;2;4;6;4;5;7;7;7;5;119;61;85;19;173;;2025-12-14 10:34:53;"complete";1;0;4;4;0;0;0.98
329;;;"base";"interview";2025-12-14 10:48:33;3;2;3;2;4;3;2;4;3;4;1;2;"26";6;7;6;5;6;6;1;2;1;2;1;3;3;3;3;2;2;50;100;19;171;;2025-12-14 10:51:24;"complete";1;0;4;4;0;0;1.72
331;;;"base";"interview";2025-12-15 04:16:34;1;2;4;5;3;4;4;3;4;2;2;2;"27";6;7;7;6;7;6;1;3;1;2;3;3;5;5;5;1;4;65;120;21;210;;2025-12-15 04:20:04;"complete";1;0;4;4;0;0;1.3
332;;;"base";"interview";2025-12-15 12:29:54;4;3;3;3;4;3;3;4;4;4;2;4;"25";5;6;3;2;5;2;4;4;4;4;4;4;6;4;4;5;25;45;99;16;185;;2025-12-15 12:32:59;"complete";1;0;4;4;0;0;1.14
335;;;"base";"interview";2025-12-15 14:35:25;2;2;2;4;4;3;2;4;3;2;1;3;"25";6;5;2;7;5;6;4;5;3;4;3;6;4;2;4;4;2;7;12;17;38;;2025-12-15 14:36:03;"complete";1;0;4;4;0;0;2.57
336;;;"base";"interview";2025-12-15 14:51:10;4;3;2;3;4;4;3;4;4;2;2;3;"23";4;3;5;4;4;1;4;4;4;3;4;5;6;5;6;6;4;39;78;15;136;;2025-12-15 14:53:26;"complete";1;0;4;4;0;0;1.74
337;;;"base";"interview";2025-12-15 18:54:26;2;4;4;3;2;2;2;2;3;4;;;;;;;;;;;;;;;;;;;;5;74;;;79;;2025-12-15 18:55:45;;0;0;2;2;0;0;1.26
338;;;"base";"interview";2025-12-15 19:15:31;3;3;2;3;3;2;2;2;3;2;2;2;"21";5;5;5;5;4;4;2;2;1;2;3;4;3;5;5;6;2;36;82;17;137;;2025-12-15 19:17:48;"complete";1;0;4;4;0;0;1.96
339;;;"base";"interview";2025-12-15 21:25:50;4;1;1;2;4;4;2;2;4;2;2;2;"49";7;6;5;3;3;5;7;5;5;2;2;6;1;7;7;6;4;236;240;33;345;;2025-12-15 21:34:23;"complete";1;0;4;4;0;0;0.88
341;;;"base";"interview";2025-12-16 10:40:36;3;3;5;3;4;5;3;4;4;4;;;;;;;;;;;;;;;;;;;;19;139;10294;;293;;2025-12-16 13:34:48;;0;0;3;3;0;0;0.31
342;;;"base";"interview";2025-12-16 10:40:43;5;1;2;5;4;3;3;5;2;3;2;2;"18";5;5;6;5;4;4;7;3;3;5;4;4;6;2;4;4;7;28;18;19;72;;2025-12-16 10:41:55;"complete";1;0;4;4;0;0;1.93
344;;;"base";"interview";2025-12-16 11:34:00;4;4;1;1;3;4;1;4;3;3;1;1;"24";5;6;6;2;5;6;6;3;2;5;2;7;7;7;6;6;3;63;110;16;192;;2025-12-16 11:37:12;"complete";1;0;4;4;0;0;1.59
346;;;"base";"interview";2025-12-16 14:34:11;2;4;2;3;4;4;2;4;4;2;2;3;"23";4;3;3;3;5;4;2;2;2;2;2;3;5;6;4;3;5;33;83;17;138;;2025-12-16 14:36:30;"complete";1;0;4;4;0;0;1.65
347;;;"base";"interview";2025-12-16 18:12:27;2;3;4;4;4;4;3;4;4;4;2;2;"28";5;6;5;5;6;6;4;4;3;4;3;6;7;6;6;6;4;47;138;21;210;;2025-12-16 18:15:58;"complete";1;0;4;4;0;0;1.37
348;;;"base";"interview";2025-12-16 20:36:30;4;4;4;2;4;5;1;5;4;4;2;3;"24";2;3;3;1;3;3;4;5;3;3;2;5;7;6;7;4;5;53;121;17;196;;2025-12-16 20:39:46;"complete";1;0;4;4;0;0;1.32
350;;;"base";"interview";2025-12-17 08:21:35;3;1;2;3;5;4;4;3;4;2;2;3;"24";6;3;6;5;5;5;2;6;2;2;3;6;6;7;7;3;3;63;97;27;190;;2025-12-17 08:24:46;"complete";1;0;4;4;0;0;1.49
352;;;"base";"interview";2025-12-17 19:43:57;1;2;4;3;4;5;2;2;4;3;2;2;"17";5;6;7;6;6;6;3;4;3;3;4;5;5;6;7;2;18;68;170;27;283;;2025-12-17 19:48:40;"complete";1;0;4;4;0;0;0.76
355;;;"base";"interview";2025-12-18 11:35:26;3;2;3;4;5;3;3;4;4;2;2;3;"25";5;5;6;6;5;5;5;4;5;5;3;3;6;5;4;3;75;44;160;16;228;;2025-12-18 11:40:21;"complete";1;0;4;4;0;0;0.97
356;;;"base";"interview";2025-12-18 13:44:44;2;3;2;3;4;4;2;2;4;3;2;2;"25";5;5;5;5;5;4;6;5;5;3;3;4;7;7;7;6;16;34;53;14;117;;2025-12-18 13:46:41;"complete";1;0;4;4;0;0;1.65
361;;;"base";"interview";2025-12-19 15:57:49;2;4;3;2;4;4;4;4;4;4;1;2;"22";7;6;6;6;6;6;2;2;2;3;2;6;6;6;6;6;4;23;47;11;85;;2025-12-19 15:59:14;"complete";1;0;4;4;0;0;2.46
362;;;"base";"interview";2025-12-19 17:45:49;3;2;2;4;3;3;2;4;3;3;2;2;"22";6;6;5;6;6;4;1;1;3;1;1;4;4;5;6;3;38;56;109;20;223;;2025-12-19 17:49:32;"complete";1;0;4;4;0;0;0.94
365;;;"base";"interview";2025-12-19 19:52:52;3;2;2;4;4;3;5;4;3;3;1;2;"26";5;5;7;6;4;6;5;5;5;6;4;2;6;5;6;5;44;61;82;16;203;;2025-12-19 19:56:15;"complete";1;0;4;4;0;0;1.08
369;;;"base";"interview";2025-12-20 10:13:19;3;1;1;2;1;1;4;2;2;3;2;3;"29";5;6;4;5;5;7;2;2;3;3;1;1;1;7;4;3;11;1721;142;18;239;;2025-12-20 10:44:51;"complete";1;0;4;4;0;0;0.73
370;;;"base";"interview";2025-12-20 10:48:32;2;2;3;3;4;5;2;5;4;3;2;4;"27";6;6;6;3;3;3;2;3;1;7;4;2;3;5;6;6;23;109;266;34;432;;2025-12-20 10:55:45;"complete";1;0;4;4;0;0;0.53
373;;;"base";"interview";2025-12-20 17:05:01;2;1;1;2;4;4;4;1;3;2;2;2;"22";3;3;2;4;5;1;1;1;3;3;1;4;5;2;2;3;4;64;119;18;205;;2025-12-20 17:08:26;"complete";1;0;4;4;0;0;1.35
375;;;"base";"interview";2025-12-20 22:01:23;4;2;3;3;4;4;5;3;4;4;2;3;"20";3;3;3;1;2;2;2;3;2;3;2;4;5;5;7;2;28;111;816;11;285;;2025-12-20 22:17:29;"complete";1;0;4;4;0;0;0.77
